,UniProt ID,Site,Type
0,A0PA08,28,HexNAc
1,A0PA08,30,HexNAc
2,A0PA08,302,HexNAc
3,A0PA08,123,HexNAc
4,A0PA08,124,HexNAc
5,A0PA08,314,HexNAc
6,A0PA08,419,HexNAc
7,A0PA08,457,HexNAc
8,A0PA08,511,HexNAc
9,D6RF35,436,HexNAcHex
10,G3GR64,900,HexNAc
11,G3GR64,518,HexNAc
12,G3GR64,520,HexNAc
13,G3GR64,637,HexNAc
14,G3GR70,140,HexNAc
15,G3GR70,141,HexNAc
16,G3GR70,144,HexNAc
17,G3GR70,146,HexNAc
18,G3GR70,34,HexNAc
19,G3GR70,37,HexNAc
20,G3GR70,89,HexNAc
21,G3GR70,90,HexNAc
22,G3GRB9,1004,HexNAc
23,G3GRB9,1075,HexNAc
24,G3GRB9,1077,HexNAc
25,G3GRB9,1080,HexNAc
26,G3GRB9,1083,HexNAc
27,G3GRB9,389,HexNAc
28,G3GRB9,448,HexNAc
29,G3GRB9,449,HexNAc
30,G3GRB9,515,HexNAc
31,G3GRB9,522,HexNAc
32,G3GRB9,526,HexNAc
33,G3GRB9,593,HexNAc
34,G3GRB9,746,HexNAc
35,G3GRB9,768,HexNAc
36,G3GRB9,1010,HexNAc
37,G3GRB9,1071,HexNAc
38,G3GRB9,1085,HexNAc
39,G3GRB9,1096,HexNAc
40,G3GRB9,125,HexNAc
41,G3GRB9,231,HexNAc
42,G3GRB9,390,HexNAc
43,G3GRB9,518,HexNAc
44,G3GRB9,755,HexNAc
45,G3GRB9,759,HexNAc
46,G3GRE1,987,HexNAc
47,G3GRM2,130,HexNAc
48,G3GRM2,324,HexNAc
49,G3GRP9,493,HexNAc
50,G3GRX5,153,HexNAc
51,G3GS07,244,HexNAc
52,G3GS78,286,HexNAc
53,G3GS78,295,HexNAc
54,G3GS78,303,HexNAc
55,G3GS91,51,HexNAc
56,G3GS91,63,HexNAc
57,G3GS91,64,HexNAc
58,G3GSD9,105,HexNAc
59,G3GSD9,94,HexNAc
60,G3GSP9,424,HexNAc
61,G3GSP9,460,HexNAc
